"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Cote d'Ivoire","CIV","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.49166666666667","2.45","2.55","2.7","2.79166666666667","2.7","2.86666666666667","3.06666666666667","3.18333333333333","3.25","3.275","3.35","3.375","3.46666666666667","3.5","3.58333333333333","3.608333","3.741667","3.808333",
"Cameroon","CMR","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.29166666666667","3.21666666666667","3.23333333333333","3.2","3.20833333333333","3.16666666666667","3.18333333333333","3.225","3.225","3.18333333333333","3.14167","3.19166666666667","3.275","3.3","3.3","3.325","3.258333","3.3","3.325",
"Congo, Dem. Rep.","COD","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.84166666666667","2.84166666666667","2.84166666666667","2.7","2.66666666666667","2.66666666666667","2.66666666666667","2.70833333333333","2.88333333333333","2.975","3","2.91666666666667","2.83333333333333","2.94166666666667","2.94166666666667","2.96666666666667","3.008333","3.133333","3.175",
"Congo, Rep.","COG","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79166666666667","2.76666666666667","2.65833333333333","2.7","2.825","2.89166666666667","3","3","3.04166666666667","3.04167","3","2.85","2.7","2.7","2.70833333333333","2.68333333333333","2.725","2.841667","2.866667",
"Colombia","COL","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.41666666666667","2.35","2.39166666666667","2.3","2.5","2.54166666666667","2.65","2.78333333333333","2.75833333333333","2.71667","2.83333","2.85833333333333","2.80833333333333","2.80833333333333","2.75833333333333","2.71666666666667","2.65","2.625","2.666667",
"Cabo Verde","CPV","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09166666666667","4.09166666666667","4.15833333333333","4.2","4.15833333333333","4.11666666666667","4.00833333333333","3.91666666666667","3.94166666666667","3.875","3.825","3.73333333333333","3.74166666666667","3.76666666666667","3.76666666666667","3.79166666666667","3.833333","3.875","3.875",
"Costa Rica","CRI","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.74166666666667","3.755","3.74833333333333","3.74","3.70666666666667","3.72166666666667","3.68333333333333","3.64833333333333","3.60666666666667","3.565","3.54166666666667","3.523332","3.50333333333333","3.50166666666667","3.575","3.58833333333333","3.5816666","3.5816666","3.6083334",
"Cuba","CUB","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
